 TYPE III
0.0000000000000000,
0.0000000000000000,
0.0000000000000000,
0.0000000000000000,
-1.0000000000000000,
0.0000000000000000,
0.0000000000000000,
0.0000000000000000,
0.0000000000000000,
-0.38268340207704565,
0.0000000000000000,
0.0000000000000000,
0.0000000000000000,
0.0000000000000000,
0.70710682754947640,
0.0000000000000000,
0.0000000000000000,
0.0000000000000000,
0.0000000000000000,
0.92387949487412657,
152.78873883975584,
47.011920181872711,
27.779771074456374,
19.714676263618397,
-0.13113417000558692E-6,
